DateTime,Date,Volume,Transaction,Value,Open,High,Low,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet,PE-Ratio,PBR,Yield,Close
2018-11-08,20181108,28086146,9461,6645771069,237.5,237.5,236.0,+,2.5,25019000.0,16290912.0,8728088.0,64000,0,64000,-225000,596000.0,821000.0,8567088,17.45,4.12,3.38,236.5
2018-11-09,20181109,23792081,7886,5526997792,234.5,234.5,231.0,-,5.5,13744041.0,16526788.0,-2782747.0,105000,46000,59000,-385000,662000.0,1047000.0,-3108747,17.05,4.02,3.46,231.0
2018-11-12,20181112,26202445,6252,6101377163,230.0,234.5,230.0,+,0.5,22680900.0,20973294.0,1707606.0,0,7000,-7000,-341000,378000.0,719000.0,1359606,17.08,4.03,3.46,231.5
2018-11-13,20181113,37565127,11507,8504691960,224.5,228.0,224.5,-,4.0,25601079.0,32130090.0,-6529011.0,125000,18000,107000,495000,1056000.0,561000.0,-5927011,16.79,3.96,3.52,227.5
2018-11-14,20181114,24565279,6007,5639284241,230.0,231.0,228.5,+,1.0,19867906.0,20838820.0,-970914.0,17000,22000,-5000,-244993,179000.0,423993.0,-1220907,16.9,3.76,3.5,228.5
2018-11-15,20181115,22230228,5996,5124189444,229.5,232.0,228.5,+,2.5,18469505.0,17090119.0,1379386.0,57000,122000,-65000,-505000,393000.0,898000.0,809386,17.09,3.8,3.46,231.0
2018-11-16,20181116,47138909,16009,10696822542,229.0,229.0,225.0,-,5.0,26900861.0,42464798.0,-15563937.0,23552,1046000,-1022448,1022000,1410000.0,388000.0,-15564385,16.72,3.72,3.54,226.0
2018-11-19,20181119,51034754,16289,11355347628,225.0,225.0,221.0,-,4.0,30394330.0,41105928.0,-10711598.0,26000,1206000,-1180000,1104000,1343000.0,239000.0,-10787598,16.42,3.65,3.6,222.0
2018-11-20,20181120,45686756,16874,9995960780,219.0,220.5,218.0,-,4.0,22419786.0,37885812.0,-15466026.0,47552,758000,-710448,599005,836000.0,236995.0,-15577469,16.12,3.59,3.67,218.0
2018-11-21,20181121,38478343,13580,8361178460,214.5,220.0,214.0,+,1.0,22746300.0,27580610.0,-4834310.0,128000,567000,-439000,347000,1267000.0,920000.0,-4926310,16.2,3.6,3.65,219.0
2018-11-22,20181122,22060610,9095,4867686945,221.5,222.0,219.0, ,0.0,13558499.0,14600000.0,-1041501.0,32000,42000,-10000,-1178000,296000.0,1474000.0,-2229501,16.2,3.6,3.65,219.0
2018-11-23,20181123,15553334,6164,3406422046,220.5,220.5,217.0,-,0.5,10338173.0,9698284.0,639889.0,123000,19000,104000,-267000,137000.0,404000.0,476889,16.16,3.6,3.66,218.5
2018-11-26,20181126,35267804,9422,7847501792,219.0,224.0,218.5,+,4.5,31201074.0,25481000.0,5720074.0,62000,149000,-87000,-367000,252000.0,619000.0,5266074,16.49,3.67,3.59,223.0
2018-11-27,20181127,32676349,10170,7239283641,220.0,224.5,219.0,+,1.0,24480714.0,27443662.0,-2962948.0,62000,0,62000,-204000,366000.0,570000.0,-3104948,16.57,3.69,3.57,224.0
2018-11-28,20181128,24759026,8316,5560623349,222.5,227.0,222.0,+,2.5,18159859.0,16559414.0,1600445.0,60277,288000,-227723,1451000,1754000.0,303000.0,2823722,16.75,3.73,3.53,226.5
2018-11-29,20181129,46206207,15849,10629450003,231.5,231.5,229.0,+,2.5,34316566.0,30157913.0,4158653.0,282000,0,282000,-24000,452000.0,476000.0,4416653,16.94,3.77,3.49,229.0
2018-11-30,20181130,57352957,10931,12995823319,229.5,231.0,225.5,-,3.5,46959796.0,52927884.0,-5968088.0,0,75000,-75000,891000,1113000.0,222000.0,-5152088,16.68,3.71,3.55,225.5
2018-12-03,20181203,49612186,19747,11579966474,231.0,235.0,231.0,+,9.5,33540373.0,24957050.0,8583323.0,645000,65000,580000,197000,1061000.0,864000.0,9360323,17.38,3.87,3.4,235.0
