DateTime,Volume,Transaction,Open,High,Low,Close,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet
2015-11-30,110350,16059,136.5,139.0,136.0,139.0, ,0.0,82738,103882,-21143,103,0,103,1064,1323,259,-19976
2015-12-01,48931,15965,140.5,142.5,138.5,142.5,+,3.5,42848,25868,16980,20,127,-107,-173,691,864,16700
2015-12-02,31767,9705,144.0,144.0,142.0,142.5, ,0.0,26293,18771,7522,42,404,-362,-293,290,583,6867
2015-12-03,28204,5048,141.5,143.0,141.5,142.5, ,0.0,24045,22616,1429,28,406,-378,274,344,70,1325
2015-12-04,31780,10122,141.0,142.5,140.5,140.5,-,2.0,18645,28901,-10256,46,187,-141,748,957,209,-9649
2015-12-07,41097,15781,142.0,144.5,142.0,143.5,+,3.0,30317,14168,16148,1307,90,1217,-393,513,906,16972
2015-12-08,34037,9537,143.5,144.0,141.0,142.5,-,1.0,22703,28742,-6039,991,67,924,137,738,601,-4978
2015-12-09,30640,8387,142.0,142.0,140.5,140.5,-,2.0,19230,27432,-8202,50,108,-58,207,645,437,-8053
2015-12-10,41487,8599,140.5,141.5,139.0,141.0,+,0.5,25680,35976,-10296,277,21,256,641,1194,553,-9399
2015-12-11,32030,10076,141.0,142.0,139.0,139.5,-,1.5,19289,26349,-7059,536,62,474,-326,317,643,-6912
2015-12-14,37666,7423,137.5,139.5,137.5,139.0,-,0.5,29735,31099,-1363,815,196,618,-26,591,617,-771
2015-12-15,27973,8428,139.5,140.5,138.0,138.0,-,1.0,19357,21190,-1833,281,159,122,2,353,350,-1709
2015-12-16,58669,23243,142.0,144.0,141.0,143.5,+,5.5,55585,16388,39197,227,598,-371,-1233,996,2229,37593
2015-12-17,34710,13019,144.5,145.0,143.0,145.0,+,1.5,31395,15306,16088,342,444,-102,-134,191,325,15852
2015-12-18,41615,8307,143.0,145.0,142.0,142.0,-,3.0,36544,31020,5523,311,235,76,340,687,346,5940
2015-12-21,26939,8942,141.5,142.5,140.5,141.5,-,0.5,16853,21072,-4219,261,210,51,1685,1933,248,-2483
2015-12-22,17209,5052,141.0,142.0,140.5,142.0,+,0.5,12907,10603,2303,11,119,-108,-154,474,628,2041
2015-12-23,18152,5631,141.0,143.0,140.5,141.5,-,0.5,13086,10003,3083,91,130,-39,-186,411,598,2858
