DateTime,Volume,Transaction,Open,High,Low,Close,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet,PE-Ratio,PBR,Yield,ForeignVol,TrustVol,DealerVol,InvestorsVol,Pattern,Trend,InvestorsNet_Dir,ForeignNet_Dir,TrustNet_Dir,DealerNet_Dir,Dir2
2017-09-20,23434,9347,221.0,222.0,220.0,221.5, ,0.0,20338,17496,2841,80,315,-235,-1174,341,1515,1432,16.37,4.28,3.16,37834,395,1856,40085,0,2,1,1,0,0,0
2017-09-21,18645,6604,221.0,223.0,220.0,221.0,-,0.5,13519,13560,-41,413,358,55,228,724,496,241,16.33,4.27,3.17,27080,771,1220,29071,0,0,1,0,1,1,2
2017-09-22,22456,7431,221.5,222.0,218.5,218.5,-,2.5,16991,18077,-1086,100,114,-14,277,734,457,-823,16.15,4.22,3.2,35069,214,1191,36474,0,0,0,0,0,1,2
2017-09-25,17458,6250,217.5,218.5,217.0,217.0,-,1.5,9051,12425,-3373,99,426,-327,-289,238,527,-3990,16.04,4.19,3.23,21476,525,765,22766,0,0,0,0,0,0,2
2017-09-26,25003,8768,217.5,218.0,214.0,214.0,-,3.0,12123,20255,-8132,785,226,559,283,938,655,-7290,15.82,4.14,3.27,32378,1011,1593,34982,0,1,0,0,1,1,2
2017-09-27,24794,7326,217.5,217.5,215.0,215.0,+,1.0,19223,21510,-2287,46,132,-86,-330,450,780,-2703,15.89,4.16,3.26,40733,178,1230,42141,0,1,0,0,0,0,1
2017-09-28,31616,7749,215.0,216.0,213.5,214.0,-,1.0,18470,28049,-9578,0,513,-513,1012,1253,241,-9079,15.82,4.14,3.27,46520,513,1494,48527,0,1,0,0,0,1,2
2017-09-29,23954,7507,216.0,217.5,215.5,216.5,+,2.5,22490,13500,8990,90,259,-169,-1779,161,1940,7042,16.0,4.18,3.23,35990,349,2101,38440,0,1,1,1,0,0,1
2017-09-30,4254,2446,218.0,218.5,216.5,216.5, ,0.0,126,1,125,135,195,-60,9,312,303,74,16.0,4.18,3.23,127,330,615,1072,0,1,1,1,0,1,0
2017-10-02,28360,10605,219.5,220.5,218.5,220.5,+,4.0,16421,9503,6917,70,133,-63,-88,271,359,6766,16.3,4.26,3.17,25924,203,630,26757,0,1,1,1,0,0,1
2017-10-03,38330,12703,219.0,223.0,219.0,222.5,+,2.0,18703,14791,3912,298,485,-186,-1383,254,1637,2342,16.44,4.3,3.15,33494,783,1891,36168,0,1,1,1,0,0,1
2017-10-05,25397,8601,222.0,225.5,222.0,224.5,+,2.0,15806,11156,4649,15,81,-66,-623,94,717,3960,16.59,4.34,3.12,26963,96,811,27870,0,1,1,1,0,0,1
2017-10-06,16040,7612,225.0,225.5,223.5,224.5, ,0.0,8490,6225,2265,31,397,-366,-348,121,469,1551,16.59,4.34,3.12,14715,428,590,15733,0,1,1,1,0,0,0
2017-10-11,67649,20879,226.5,233.5,226.5,233.0,+,8.5,49130,33021,16109,126,131,-5,-2249,783,3032,13855,17.22,4.5,3.0,82152,257,3815,86224,0,0,1,1,0,0,1
2017-10-12,44176,16490,235.0,237.5,234.5,237.5,+,4.5,34956,19026,15929,215,625,-410,-982,572,1554,14537,17.55,4.59,2.95,53982,840,2126,56948,0,0,1,1,0,0,1
2017-10-13,23145,10507,237.5,237.5,234.5,237.5, ,0.0,15743,12984,2759,80,319,-239,541,1058,517,3061,17.55,4.59,2.95,28727,399,1575,30701,0,0,1,1,0,1,0
